,countryiso3code,date,value,indicator.value,country.value
47,ALB,2002,4348070165.19261,GDP (current US$),Albania
48,ALB,2001,3922099470.97313,GDP (current US$),Albania
49,ALB,2000,3480355188.60063,GDP (current US$),Albania
50,ALB,1999,3212119044.17089,GDP (current US$),Albania
51,ALB,1998,2545967253.2416,GDP (current US$),Albania
52,ALB,1997,2258515610.08862,GDP (current US$),Albania
53,ALB,1996,3199642579.96974,GDP (current US$),Albania
54,ALB,1995,2392764853.42107,GDP (current US$),Albania
55,ALB,1994,1880951520.3972,GDP (current US$),Albania
56,ALB,1993,1185315468.46295,GDP (current US$),Albania
57,ALB,1992,652174990.837304,GDP (current US$),Albania
58,ALB,1991,1099559027.77778,GDP (current US$),Albania
59,ALB,1990,2028553750.0,GDP (current US$),Albania
60,ALB,1989,2253090000.0,GDP (current US$),Albania
61,ALB,1988,2051236250.0,GDP (current US$),Albania
62,ALB,1987,2080796250.0,GDP (current US$),Albania
63,ALB,1986,2097326250.0,GDP (current US$),Albania
64,DZA,2017,167389364980.671,GDP (current US$),Algeria
65,DZA,2016,160033844070.572,GDP (current US$),Algeria
66,DZA,2015,165979418301.861,GDP (current US$),Algeria
67,DZA,2014,213808808746.696,GDP (current US$),Algeria
68,DZA,2013,209754763860.68,GDP (current US$),Algeria
69,DZA,2012,209060307470.078,GDP (current US$),Algeria
70,DZA,2011,200019468616.453,GDP (current US$),Algeria
71,DZA,2010,161207754147.286,GDP (current US$),Algeria
72,DZA,2009,137210691642.096,GDP (current US$),Algeria
73,DZA,2008,171000637940.752,GDP (current US$),Algeria
74,DZA,2007,134977284666.139,GDP (current US$),Algeria
75,DZA,2006,117025435464.289,GDP (current US$),Algeria
76,DZA,2005,103198442061.076,GDP (current US$),Algeria
77,DZA,2004,85324767230.4939,GDP (current US$),Algeria
78,DZA,2003,67864849150.4619,GDP (current US$),Algeria
79,DZA,2002,56760623478.3263,GDP (current US$),Algeria
80,DZA,2001,54745839538.9497,GDP (current US$),Algeria
81,DZA,2000,54788732394.3662,GDP (current US$),Algeria
82,DZA,1999,48640610448.5235,GDP (current US$),Algeria
83,DZA,1998,48187747528.899,GDP (current US$),Algeria
84,DZA,1997,48177862501.9495,GDP (current US$),Algeria
85,DZA,1996,46941496779.8499,GDP (current US$),Algeria
86,DZA,1995,41764052457.8814,GDP (current US$),Algeria
87,DZA,1994,42542571305.5136,GDP (current US$),Algeria
88,DZA,1993,49946455210.966,GDP (current US$),Algeria
89,DZA,1992,48003298223.1178,GDP (current US$),Algeria
90,DZA,1991,45715367087.1001,GDP (current US$),Algeria
91,DZA,1990,62045099642.7774,GDP (current US$),Algeria
92,DZA,1989,55631489801.5508,GDP (current US$),Algeria
93,DZA,1988,59089067187.3943,GDP (current US$),Algeria
94,DZA,1987,66742267773.1959,GDP (current US$),Algeria
95,DZA,1986,63696301892.8116,GDP (current US$),Algeria
96,ASM,2017,602000000.0,GDP (current US$),American Samoa
97,ASM,2016,652000000.0,GDP (current US$),American Samoa
98,ASM,2015,661000000.0,GDP (current US$),American Samoa
99,ASM,2014,642000000.0,GDP (current US$),American Samoa
100,ASM,2013,641000000.0,GDP (current US$),American Samoa
101,ASM,2012,644000000.0,GDP (current US$),American Samoa
102,ASM,2011,574000000.0,GDP (current US$),American Samoa
103,ASM,2010,576000000.0,GDP (current US$),American Samoa
104,ASM,2009,678000000.0,GDP (current US$),American Samoa
105,ASM,2008,563000000.0,GDP (current US$),American Samoa
106,ASM,2007,520000000.0,GDP (current US$),American Samoa
107,ASM,2006,496000000.0,GDP (current US$),American Samoa
108,ASM,2005,503000000.0,GDP (current US$),American Samoa
109,ASM,2004,512000000.0,GDP (current US$),American Samoa
110,ASM,2003,527000000.0,GDP (current US$),American Samoa
111,ASM,2002,514000000.0,GDP (current US$),American Samoa
112,ASM,2001,,GDP (current US$),American Samoa
113,ASM,2000,,GDP (current US$),American Samoa
114,ASM,1999,,GDP (current US$),American Samoa
115,ASM,1998,,GDP (current US$),American Samoa
116,ASM,1997,,GDP (current US$),American Samoa
117,ASM,1996,,GDP (current US$),American Samoa
118,ASM,1995,,GDP (current US$),American Samoa
119,ASM,1994,,GDP (current US$),American Samoa
120,ASM,1993,,GDP (current US$),American Samoa
121,ASM,1992,,GDP (current US$),American Samoa
122,ASM,1991,,GDP (current US$),American Samoa
123,ASM,1990,,GDP (current US$),American Samoa
124,ASM,1989,,GDP (current US$),American Samoa
125,ASM,1988,,GDP (current US$),American Samoa
126,ASM,1987,,GDP (current US$),American Samoa
127,ASM,1986,,GDP (current US$),American Samoa
128,AND,2017,3000180750.11297,GDP (current US$),Andorra
129,AND,2016,2896679211.86628,GDP (current US$),Andorra
130,AND,2015,2789870187.50693,GDP (current US$),Andorra
131,AND,2014,3271808157.30039,GDP (current US$),Andorra
132,AND,2013,3193704343.20627,GDP (current US$),Andorra
133,AND,2012,3188808942.56713,GDP (current US$),Andorra
134,AND,2011,3629203786.19154,GDP (current US$),Andorra
135,AND,2010,3449966856.68832,GDP (current US$),Andorra
136,AND,2009,3674409558.21061,GDP (current US$),Andorra
137,AND,2008,4085630584.44412,GDP (current US$),Andorra
138,AND,2007,3952600602.24473,GDP (current US$),Andorra
139,AND,2006,3456442102.622,GDP (current US$),Andorra
140,AND,2005,3159905484.39249,GDP (current US$),Andorra
141,AND,2004,2894921777.99851,GDP (current US$),Andorra
142,AND,2003,2361726862.30248,GDP (current US$),Andorra
143,AND,2002,1755910031.99699,GDP (current US$),Andorra
144,AND,2001,1546926174.49664,GDP (current US$),Andorra
145,AND,2000,1429049198.45218,GDP (current US$),Andorra
146,AND,1999,1239876305.13531,GDP (current US$),Andorra
147,AND,1998,1211932397.81713,GDP (current US$),Andorra
148,AND,1997,1180597272.72727,GDP (current US$),Andorra
149,AND,1996,1223945356.62682,GDP (current US$),Andorra
150,AND,1995,1178738991.19295,GDP (current US$),Andorra
151,AND,1994,1017549124.33238,GDP (current US$),Andorra
152,AND,1993,1007025755.00065,GDP (current US$),Andorra
153,AND,1992,1210013651.87713,GDP (current US$),Andorra
154,AND,1991,1106928582.86629,GDP (current US$),Andorra
155,AND,1990,1029048481.88051,GDP (current US$),Andorra
156,AND,1989,795449332.396346,GDP (current US$),Andorra
157,AND,1988,721425939.15155,GDP (current US$),Andorra
158,AND,1987,611316399.407088,GDP (current US$),Andorra
159,AND,1986,482000594.03588,GDP (current US$),Andorra
160,AGO,2017,122123822333.591,GDP (current US$),Angola
161,AGO,2016,101123851090.455,GDP (current US$),Angola
162,AGO,2015,116193649124.151,GDP (current US$),Angola
163,AGO,2014,145712200312.505,GDP (current US$),Angola
164,AGO,2013,136709862831.194,GDP (current US$),Angola
165,AGO,2012,128052853643.106,GDP (current US$),Angola
166,AGO,2011,111789686464.441,GDP (current US$),Angola
167,AGO,2010,83799496611.2004,GDP (current US$),Angola
168,AGO,2009,70307163678.238,GDP (current US$),Angola
169,AGO,2008,88538611205.1433,GDP (current US$),Angola
170,AGO,2007,65266452081.386,GDP (current US$),Angola
171,AGO,2006,52381006892.038,GDP (current US$),Angola
172,AGO,2005,36970918699.2523,GDP (current US$),Angola
173,AGO,2004,23552052407.5488,GDP (current US$),Angola
174,AGO,2003,17812705294.325,GDP (current US$),Angola
175,AGO,2002,15285594828.418,GDP (current US$),Angola
176,AGO,2001,8936063723.20121,GDP (current US$),Angola
177,AGO,2000,9129594818.60749,GDP (current US$),Angola
178,AGO,1999,6152922942.98032,GDP (current US$),Angola
179,AGO,1998,6506229607.29432,GDP (current US$),Angola
180,AGO,1997,7648377412.83277,GDP (current US$),Angola
181,AGO,1996,7526446605.51712,GDP (current US$),Angola
182,AGO,1995,5538749259.94714,GDP (current US$),Angola
183,AGO,1994,4438321017.39068,GDP (current US$),Angola
184,AGO,1993,5768720421.61367,GDP (current US$),Angola
185,AGO,1992,8307810973.58848,GDP (current US$),Angola
186,AGO,1991,10603784541.197,GDP (current US$),Angola
187,AGO,1990,11228764963.1618,GDP (current US$),Angola
188,AGO,1989,10201099039.5655,GDP (current US$),Angola
189,AGO,1988,8769250549.73596,GDP (current US$),Angola
190,AGO,1987,8083872012.47326,GDP (current US$),Angola
191,AGO,1986,7072063345.44786,GDP (current US$),Angola
192,ATG,2017,1467977777.77778,GDP (current US$),Antigua and Barbuda
193,ATG,2016,1436585185.18519,GDP (current US$),Antigua and Barbuda
194,ATG,2015,1336692592.59259,GDP (current US$),Antigua and Barbuda
195,ATG,2014,1249733333.33333,GDP (current US$),Antigua and Barbuda
196,ATG,2013,1181448148.14815,GDP (current US$),Antigua and Barbuda
197,ATG,2012,1199948148.14815,GDP (current US$),Antigua and Barbuda
198,ATG,2011,1137637037.03704,GDP (current US$),Antigua and Barbuda
199,ATG,2010,1148700000.0,GDP (current US$),Antigua and Barbuda
200,ATG,2009,1224253000.0,GDP (current US$),Antigua and Barbuda
201,ATG,2008,1368431037.03704,GDP (current US$),Antigua and Barbuda
202,ATG,2007,1311401333.33333,GDP (current US$),Antigua and Barbuda
203,ATG,2006,1157005444.44444,GDP (current US$),Antigua and Barbuda
204,ATG,2005,1022191296.2963,GDP (current US$),Antigua and Barbuda
205,ATG,2004,919577148.148148,GDP (current US$),Antigua and Barbuda
206,ATG,2003,855643111.111111,GDP (current US$),Antigua and Barbuda
207,ATG,2002,814615333.333333,GDP (current US$),Antigua and Barbuda
208,ATG,2001,800740259.259259,GDP (current US$),Antigua and Barbuda
209,ATG,2000,830158777.777778,GDP (current US$),Antigua and Barbuda
210,ATG,1999,766198925.925926,GDP (current US$),Antigua and Barbuda
211,ATG,1998,727860592.592593,GDP (current US$),Antigua and Barbuda
212,ATG,1997,680617111.111111,GDP (current US$),Antigua and Barbuda
213,ATG,1996,633730629.62963,GDP (current US$),Antigua and Barbuda
214,ATG,1995,577280740.740741,GDP (current US$),Antigua and Barbuda
215,ATG,1994,589429592.592593,GDP (current US$),Antigua and Barbuda
216,ATG,1993,535172777.777778,GDP (current US$),Antigua and Barbuda
217,ATG,1992,499281148.148148,GDP (current US$),Antigua and Barbuda
218,ATG,1991,481706333.333333,GDP (current US$),Antigua and Barbuda
219,ATG,1990,459469058.888889,GDP (current US$),Antigua and Barbuda
220,ATG,1989,438794788.518519,GDP (current US$),Antigua and Barbuda
221,ATG,1988,398637727.777778,GDP (current US$),Antigua and Barbuda
222,ATG,1987,337174861.851852,GDP (current US$),Antigua and Barbuda
223,ATG,1986,290440140.740741,GDP (current US$),Antigua and Barbuda
224,ARG,2017,642695864756.35,GDP (current US$),Argentina
225,ARG,2016,557531376217.967,GDP (current US$),Argentina
226,ARG,2015,594749285413.212,GDP (current US$),Argentina
227,ARG,2014,526319673731.638,GDP (current US$),Argentina
228,ARG,2013,552025140252.246,GDP (current US$),Argentina
229,ARG,2012,545982375701.128,GDP (current US$),Argentina
230,ARG,2011,530163281574.658,GDP (current US$),Argentina
231,ARG,2010,423627422092.49,GDP (current US$),Argentina
232,ARG,2009,332976484577.619,GDP (current US$),Argentina
233,ARG,2008,361558037110.419,GDP (current US$),Argentina
234,ARG,2007,287530508430.568,GDP (current US$),Argentina
235,ARG,2006,232557260817.308,GDP (current US$),Argentina
236,ARG,2005,198737095012.282,GDP (current US$),Argentina
237,ARG,2004,164657930452.787,GDP (current US$),Argentina
238,ARG,2003,127586973492.177,GDP (current US$),Argentina
239,ARG,2002,97724004251.8602,GDP (current US$),Argentina
240,ARG,2001,268696750000.0,GDP (current US$),Argentina
241,ARG,2000,284203750000.0,GDP (current US$),Argentina
242,ARG,1999,283523000000.0,GDP (current US$),Argentina
243,ARG,1998,298948250000.0,GDP (current US$),Argentina
244,ARG,1997,292859000000.0,GDP (current US$),Argentina
245,ARG,1996,272149750000.0,GDP (current US$),Argentina
246,ARG,1995,258031750000.0,GDP (current US$),Argentina
247,ARG,1994,257440000000.0,GDP (current US$),Argentina
248,ARG,1993,236741715015.015,GDP (current US$),Argentina
249,ARG,1992,228788617201.696,GDP (current US$),Argentina
250,ARG,1991,189719984268.485,GDP (current US$),Argentina
251,ARG,1990,141352368714.691,GDP (current US$),Argentina
252,ARG,1989,76636898036.4712,GDP (current US$),Argentina
253,ARG,1988,126206817196.091,GDP (current US$),Argentina
254,ARG,1987,111106191358.197,GDP (current US$),Argentina
255,ARG,1986,110934442762.694,GDP (current US$),Argentina
256,ARM,2017,11527458565.7334,GDP (current US$),Armenia
257,ARM,2016,10546135160.031,GDP (current US$),Armenia
258,ARM,2015,10553337672.9872,GDP (current US$),Armenia
259,ARM,2014,11609512939.7543,GDP (current US$),Armenia
260,ARM,2013,11121465767.4067,GDP (current US$),Armenia
261,ARM,2012,10619320048.5857,GDP (current US$),Armenia
262,ARM,2011,10142111334.4961,GDP (current US$),Armenia
263,ARM,2010,9260284937.79782,GDP (current US$),Armenia
264,ARM,2009,8647936747.98704,GDP (current US$),Armenia
265,ARM,2008,11662040713.8753,GDP (current US$),Armenia
266,ARM,2007,9206301700.39619,GDP (current US$),Armenia
267,ARM,2006,6384451606.1421,GDP (current US$),Armenia
268,ARM,2005,4900469950.09033,GDP (current US$),Armenia
269,ARM,2004,3576615240.41616,GDP (current US$),Armenia
270,ARM,2003,2807061008.69084,GDP (current US$),Armenia
271,ARM,2002,2376335048.39976,GDP (current US$),Armenia
272,ARM,2001,2118467913.37873,GDP (current US$),Armenia
273,ARM,2000,1911563665.39006,GDP (current US$),Armenia
274,ARM,1999,1845482181.44801,GDP (current US$),Armenia
275,ARM,1998,1893726437.26462,GDP (current US$),Armenia
276,ARM,1997,1639492424.36472,GDP (current US$),Armenia
277,ARM,1996,1596968913.27897,GDP (current US$),Armenia
278,ARM,1995,1468317350.06841,GDP (current US$),Armenia
279,ARM,1994,1315158670.28285,GDP (current US$),Armenia
280,ARM,1993,1201313201.01272,GDP (current US$),Armenia
281,ARM,1992,1272577456.12712,GDP (current US$),Armenia
282,ARM,1991,2068526521.90299,GDP (current US$),Armenia
283,ARM,1990,2256838858.42714,GDP (current US$),Armenia
284,ARM,1989,,GDP (current US$),Armenia
285,ARM,1988,,GDP (current US$),Armenia
286,ARM,1987,,GDP (current US$),Armenia
287,ARM,1986,,GDP (current US$),Armenia
288,ABW,2017,3056424581.00559,GDP (current US$),Aruba
289,ABW,2016,2965921787.7095,GDP (current US$),Aruba
290,ABW,2015,2919553072.6257,GDP (current US$),Aruba
291,ABW,2014,2765363128.49162,GDP (current US$),Aruba
292,ABW,2013,2701675977.65363,GDP (current US$),Aruba
293,ABW,2012,2534636871.50838,GDP (current US$),Aruba
294,ABW,2011,2549720670.39106,GDP (current US$),Aruba
295,ABW,2010,2390502793.29609,GDP (current US$),Aruba
296,ABW,2009,2498882681.56425,GDP (current US$),Aruba
297,ABW,2008,2745251396.64804,GDP (current US$),Aruba
298,ABW,2007,2615083798.88268,GDP (current US$),Aruba
299,ABW,2006,2424581005.58659,GDP (current US$),Aruba
300,ABW,2005,2330726256.98324,GDP (current US$),Aruba
301,ABW,2004,2228491620.11173,GDP (current US$),Aruba
302,ABW,2003,2021229050.27933,GDP (current US$),Aruba
303,ABW,2002,1941340782.12291,GDP (current US$),Aruba
304,ABW,2001,1920111731.84358,GDP (current US$),Aruba
305,ABW,2000,1873452513.96648,GDP (current US$),Aruba
306,ABW,1999,1722798882.68156,GDP (current US$),Aruba
307,ABW,1998,1665100558.65922,GDP (current US$),Aruba
308,ABW,1997,1531944134.07821,GDP (current US$),Aruba
309,ABW,1996,1379960893.85475,GDP (current US$),Aruba
310,ABW,1995,1320474860.3352,GDP (current US$),Aruba
311,ABW,1994,1245688268.15642,GDP (current US$),Aruba
312,ABW,1993,1082979720.67039,GDP (current US$),Aruba
313,ABW,1992,958463184.357542,GDP (current US$),Aruba
314,ABW,1991,872138715.083799,GDP (current US$),Aruba
315,ABW,1990,764887117.194486,GDP (current US$),Aruba
316,ABW,1989,695304363.031101,GDP (current US$),Aruba
317,ABW,1988,596423607.114715,GDP (current US$),Aruba
318,ABW,1987,487602457.746416,GDP (current US$),Aruba
319,ABW,1986,405463417.11746,GDP (current US$),Aruba
320,AUS,2017,1330135756844.41,GDP (current US$),Australia
321,AUS,2016,1208846993739.99,GDP (current US$),Australia
322,AUS,2015,1351693984524.5,GDP (current US$),Australia
323,AUS,2014,1467483705131.74,GDP (current US$),Australia
324,AUS,2013,1576184467015.49,GDP (current US$),Australia
325,AUS,2012,1546151783872.96,GDP (current US$),Australia
326,AUS,2011,1396649906339.35,GDP (current US$),Australia
327,AUS,2010,1146138465603.81,GDP (current US$),Australia
328,AUS,2009,927805183330.879,GDP (current US$),Australia
329,AUS,2008,1053995523724.26,GDP (current US$),Australia
330,AUS,2007,853099630996.31,GDP (current US$),Australia
331,AUS,2006,746054207846.661,GDP (current US$),Australia
332,AUS,2005,693407758231.845,GDP (current US$),Australia
333,AUS,2004,612490396927.017,GDP (current US$),Australia
334,AUS,2003,466488060570.763,GDP (current US$),Australia
335,AUS,2002,394648911678.526,GDP (current US$),Australia
336,AUS,2001,378376086723.194,GDP (current US$),Australia
337,AUS,2000,415222633925.768,GDP (current US$),Australia
338,AUS,1999,388608221581.652,GDP (current US$),Australia
339,AUS,1998,398899138574.239,GDP (current US$),Australia
340,AUS,1997,434568007512.913,GDP (current US$),Australia
341,AUS,1996,400302731411.229,GDP (current US$),Australia
342,AUS,1995,367216364716.365,GDP (current US$),Australia
343,AUS,1994,322211691456.244,GDP (current US$),Australia
344,AUS,1993,311544406970.208,GDP (current US$),Australia
345,AUS,1992,324878874105.975,GDP (current US$),Australia
346,AUS,1991,325310415195.04,GDP (current US$),Australia
347,AUS,1990,310777222008.465,GDP (current US$),Australia
348,AUS,1989,299267974920.609,GDP (current US$),Australia
349,AUS,1988,235659196740.396,GDP (current US$),Australia
350,AUS,1987,189060349391.212,GDP (current US$),Australia
351,AUS,1986,182036933407.946,GDP (current US$),Australia
352,AUT,2017,418316161095.683,GDP (current US$),Austria
353,AUT,2016,395227684138.862,GDP (current US$),Austria
354,AUT,2015,381817565893.574,GDP (current US$),Austria
355,AUT,2014,441996131736.508,GDP (current US$),Austria
356,AUT,2013,430068712971.867,GDP (current US$),Austria
357,AUT,2012,409425234155.263,GDP (current US$),Austria
358,AUT,2011,431120310088.82,GDP (current US$),Austria
359,AUT,2010,391892746544.69,GDP (current US$),Austria
360,AUT,2009,400172297860.517,GDP (current US$),Austria
361,AUT,2008,430294287388.311,GDP (current US$),Austria
362,AUT,2007,388691445387.353,GDP (current US$),Austria
363,AUT,2006,335998557270.104,GDP (current US$),Austria
364,AUT,2005,315974418604.651,GDP (current US$),Austria
365,AUT,2004,300904221504.842,GDP (current US$),Austria
366,AUT,2003,261695778781.038,GDP (current US$),Austria
367,AUT,2002,213377771503.858,GDP (current US$),Austria
368,AUT,2001,197337879194.631,GDP (current US$),Austria
369,AUT,2000,196799778883.361,GDP (current US$),Austria
370,AUT,1999,217185787342.851,GDP (current US$),Austria
371,AUT,1998,218259904401.956,GDP (current US$),Austria
372,AUT,1997,212790348404.555,GDP (current US$),Austria
373,AUT,1996,237250948791.266,GDP (current US$),Austria
374,AUT,1995,241038283062.645,GDP (current US$),Austria
375,AUT,1994,203535242741.838,GDP (current US$),Austria
376,AUT,1993,190379720927.481,GDP (current US$),Austria
377,AUT,1992,195078126346.106,GDP (current US$),Austria
378,AUT,1991,173794177725.398,GDP (current US$),Austria
379,AUT,1990,166463386663.439,GDP (current US$),Austria
380,AUT,1989,133105805928.237,GDP (current US$),Austria
381,AUT,1988,133339397080.129,GDP (current US$),Austria
382,AUT,1987,124168442860.253,GDP (current US$),Austria
383,AUT,1986,99036165209.5539,GDP (current US$),Austria
384,AZE,2017,40865558912.3867,GDP (current US$),Azerbaijan
385,AZE,2016,37867518957.1975,GDP (current US$),Azerbaijan
386,AZE,2015,53074370486.0433,GDP (current US$),Azerbaijan
387,AZE,2014,75244294275.1498,GDP (current US$),Azerbaijan
388,AZE,2013,74164435946.4627,GDP (current US$),Azerbaijan
389,AZE,2012,69683935845.2138,GDP (current US$),Azerbaijan
390,AZE,2011,65951627200.2026,GDP (current US$),Azerbaijan
391,AZE,2010,52902703376.1056,GDP (current US$),Azerbaijan
392,AZE,2009,44291490420.5026,GDP (current US$),Azerbaijan
393,AZE,2008,48852482960.0779,GDP (current US$),Azerbaijan
394,AZE,2007,33050343782.7759,GDP (current US$),Azerbaijan
395,AZE,2006,20982986344.3027,GDP (current US$),Azerbaijan
396,AZE,2005,13245716099.0057,GDP (current US$),Azerbaijan
397,AZE,2004,8680370408.05943,GDP (current US$),Azerbaijan
398,AZE,2003,7276013031.96905,GDP (current US$),Azerbaijan
399,AZE,2002,6235856819.58445,GDP (current US$),Azerbaijan
400,AZE,2001,5707720390.8515,GDP (current US$),Azerbaijan
401,AZE,2000,5272617196.04517,GDP (current US$),Azerbaijan
402,AZE,1999,4581246713.32066,GDP (current US$),Azerbaijan
403,AZE,1998,4446370371.15023,GDP (current US$),Azerbaijan
404,AZE,1997,3962735257.21455,GDP (current US$),Azerbaijan
405,AZE,1996,3176703092.30412,GDP (current US$),Azerbaijan
406,AZE,1995,3052467522.36104,GDP (current US$),Azerbaijan
407,AZE,1994,3313939553.5418,GDP (current US$),Azerbaijan
408,AZE,1993,3970953395.51544,GDP (current US$),Azerbaijan
409,AZE,1992,4991350457.5425,GDP (current US$),Azerbaijan
410,AZE,1991,8792365810.5094,GDP (current US$),Azerbaijan
411,AZE,1990,8858006035.91566,GDP (current US$),Azerbaijan
412,AZE,1989,,GDP (current US$),Azerbaijan
413,AZE,1988,,GDP (current US$),Azerbaijan
414,AZE,1987,,GDP (current US$),Azerbaijan
415,AZE,1986,,GDP (current US$),Azerbaijan
416,BHS,2017,12150400000.0,GDP (current US$),"Bahamas, The"
417,BHS,2016,11938400000.0,GDP (current US$),"Bahamas, The"
418,BHS,2015,11752300000.0,GDP (current US$),"Bahamas, The"
419,BHS,2014,10913300000.0,GDP (current US$),"Bahamas, The"
420,BHS,2013,10562700000.0,GDP (current US$),"Bahamas, The"
421,BHS,2012,10720500000.0,GDP (current US$),"Bahamas, The"
422,BHS,2011,10070450000.0,GDP (current US$),"Bahamas, The"
423,BHS,2010,10095760000.0,GDP (current US$),"Bahamas, The"
424,BHS,2009,9981960000.0,GDP (current US$),"Bahamas, The"
425,BHS,2008,10526000000.0,GDP (current US$),"Bahamas, The"
426,BHS,2007,10618340000.0,GDP (current US$),"Bahamas, The"
427,BHS,2006,10167250000.0,GDP (current US$),"Bahamas, The"
428,BHS,2005,9836200000.0,GDP (current US$),"Bahamas, The"
429,BHS,2004,9055290000.0,GDP (current US$),"Bahamas, The"
430,BHS,2003,8870090000.0,GDP (current US$),"Bahamas, The"
431,BHS,2002,8881160000.0,GDP (current US$),"Bahamas, The"
432,BHS,2001,8317830000.0,GDP (current US$),"Bahamas, The"
433,BHS,2000,8076470000.0,GDP (current US$),"Bahamas, The"
434,BHS,1999,7683870000.0,GDP (current US$),"Bahamas, The"
435,BHS,1998,6833220000.0,GDP (current US$),"Bahamas, The"
436,BHS,1997,6332360000.0,GDP (current US$),"Bahamas, The"
437,BHS,1996,3609000000.0,GDP (current US$),"Bahamas, The"
438,BHS,1995,3429000000.0,GDP (current US$),"Bahamas, The"
439,BHS,1994,3259000000.0,GDP (current US$),"Bahamas, The"
440,BHS,1993,3092000000.0,GDP (current US$),"Bahamas, The"
441,BHS,1992,3109000000.0,GDP (current US$),"Bahamas, The"
442,BHS,1991,3111160000.0,GDP (current US$),"Bahamas, The"
443,BHS,1990,3166000000.0,GDP (current US$),"Bahamas, The"
444,BHS,1989,3062000000.0,GDP (current US$),"Bahamas, The"
445,BHS,1988,2817900000.0,GDP (current US$),"Bahamas, The"
446,BHS,1987,2713999900.0,GDP (current US$),"Bahamas, The"
447,BHS,1986,2472500000.0,GDP (current US$),"Bahamas, The"
448,BHR,2017,35423643617.0213,GDP (current US$),Bahrain
449,BHR,2016,32250132978.7234,GDP (current US$),Bahrain
450,BHR,2015,31125851063.8298,GDP (current US$),Bahrain
451,BHR,2014,33387712765.9574,GDP (current US$),Bahrain
452,BHR,2013,32539468085.1064,GDP (current US$),Bahrain
453,BHR,2012,30749308510.6383,GDP (current US$),Bahrain
454,BHR,2011,28776595744.6809,GDP (current US$),Bahrain
455,BHR,2010,25713271276.5957,GDP (current US$),Bahrain
456,BHR,2009,22938218085.1064,GDP (current US$),Bahrain
457,BHR,2008,25710904255.3191,GDP (current US$),Bahrain
458,BHR,2007,21730000000.0,GDP (current US$),Bahrain
459,BHR,2006,18504760638.2979,GDP (current US$),Bahrain
460,BHR,2005,15968723404.2553,GDP (current US$),Bahrain
461,BHR,2004,13150159574.4681,GDP (current US$),Bahrain
462,BHR,2003,11074813829.7872,GDP (current US$),Bahrain
463,BHR,2002,9593510638.29787,GDP (current US$),Bahrain
464,BHR,2001,8976196808.51064,GDP (current US$),Bahrain
465,BHR,2000,9062898936.17021,GDP (current US$),Bahrain
466,BHR,1999,6621010372.34043,GDP (current US$),Bahrain
467,BHR,1998,6183776595.74468,GDP (current US$),Bahrain
